NCT#	phase	condition	sponsor	start_date	mesh_list	criterion	Ground_Truth
NCT01689571	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant or lactating women	16
NCT01948401	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	Pregnant or lactating women	16
NCT02127866	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant or lactating women	16
NCT02296411	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant or lactating women	16
NCT00162773	Phase 2	Asthma	Johns Hopkins University	10-Feb-15	Asthma	Pregnant or likely to become pregnant during the study	16
NCT04589663	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Pregnant or nursing (lactating) females	16
NCT01836471	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Pregnant or nursing (lactating) women	16
NCT04410523	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Pregnant or nursing (lactating) women	16
NCT00403754	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Pregnant or nursing (lactating) women.	16
NCT03774290	Phase 2	Asthma	Palobiofarma SL	10-Feb-15	Asthma	Pregnant or nursing (lactating) women.	16
NCT04946318	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Pregnant or nursing (lactating) women. 	16
NCT03989635	Phase 2	"Asthma;Asthma, Bronchial;Bronchial Asthma;Eosinophilia;Physiological Effects of Drugs"	Novartis Pharmaceuticals	10-Feb-15	Asthma;Eosinophilia	Pregnant or nursing (lactating) women. Asthma patients:	16
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	Pregnant or nursing women or women intending to conceive during the course of the study or have a positive serum pregnancy test at Screening or a positive urine pregnancy test during the study.	16
NCT00501527	Phase 2	"Rhinitis, Allergic, Seasonal;Conjunctivitis, Allergic;Asthma"	"Laboratorios Leti, S.L."	10-Feb-15	"Rhinitis;Asthma;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal;Conjunctivitis;Conjunctivitis, Allergic"	Pregnant or/ in lactation patients	16
NCT00280683	Phase 2	Asthma	"University of California, Davis"	10-Feb-15	Asthma	"Pregnant women, nursing women, or women actively trying to achieve pregnancy"	16
NCT01930461	Phase 2	Asthma;House Dust Mite Allergy	Stallergenes Greer	10-Feb-15	Asthma	Pregnant women or breast-feeding/lactating.	16
NCT04046939	Phase 2	Eosinophilic Asthma;Asthma	Knopp Biosciences	10-Feb-15	Asthma;Pulmonary Eosinophilia	Pregnant women or women breastfeeding	16
NCT01795742	Phase 2	Asthma	Marquette University	10-Feb-15	Asthma	Pregnant women or women who may think they might be pregnant	16
NCT01902290	Phase 2	Asthma	Amgen	10-Feb-15	Asthma	"Subject is pregnant or breastfeeding, or planning to become pregnant while enrolled in the study"	16
NCT04847674	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	"The participant is a pregnant or lactating woman, or plans to become pregnant during the study."	16
NCT04545385	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	The participant is currently pregnant or lactating or is planning to become pregnant during the study.	16
NCT01393340	Phase 2	Nasal Polyposis;Asthma	"University Hospital, Ghent"	10-Feb-15	Colorectal Neoplasms;Nasopharyngeal Neoplasms;Asthma;Nasal Polyps	"Women must not be pregnant, breast feeding, or premenarcheal."	16
NCT01132781	Phase 2	Rhinosinusitis;Asthma;Allergic Rhinitis	University of East Anglia	10-Feb-15	"Rhinitis;Rhinitis, Allergic"	Women who are pregnant or breast feeding	16
NCT03012061	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Women who are pregnant or lactating or are planning to become pregnant during the study.	16
NCT00556673	Phase 2	Asthma	Novartis	10-Feb-15	Asthma	A positive Hepatitis B surface antigen (HBsAg) or Hepatitis C test result	17
NCT00605306	Phase 2	Asthma	Novartis	10-Feb-15	Asthma	A positive Hepatitis B surface antigen (HBsAg) or Hepatitis C test result.	17
NCT00873860	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"A positive hepatitis B surface antigen, or hepatitis C virus antibody"	17
NCT00968669	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"A positive hepatitis B surface antigen, or hepatitis C virus antibody, as determined by medical history and/or subject's verbal report"	17
NCT01573624	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive Hepatitis B surface antigen or positive Hepatitis C antibody and/or HIV	17
NCT01400906	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	a positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result	17
NCT00549744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening	17
NCT00945932	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening	17
NCT00857857	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening.	17
NCT01471665	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening.	17
NCT01808339	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within 3 months of screening.	17
NCT01366521	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study Hepatitis B surface antigen or positive Hepatitis C antibody result within three months of screening.	17
NCT01245426	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive test for Hepatitis B or Hepatitis C antibody.	17
NCT01287065	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Respiratory Aspiration	A positive test for Hepatitis B or Hepatitis C within 3 months of screening.	17
NCT02334553	Phase 2	Asthma	SolAeroMed Inc.	10-Feb-15	Asthma	"Any clinically significant abnormality or abnormal laboratory test results found during medical screening or positive test for hepatitis B, hepatitis C, or HIV found during medical screening"	17
NCT01617746	Phase 2	Asthma	University of Glasgow	10-Feb-15	Asthma	Chronic hepatitis (either viral (e.g. hepatitis B or C) or autoimmune)	17
NCT02087644	Phase 2	Asthma	Cytos Biotechnology AG	10-Feb-15	Asthma	"Confirmed or suspected current infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or hepatitis C virus (HCV)"	17
NCT01196039	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	Confirmed positive test for HIV or hepatitis B or C	17
NCT01097694	Phase 2	Asthma	Brigham and Women's Hospital	10-Feb-15	Asthma	Diagnosis of Hepatitis B or C	17
NCT00394654	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Evidence of infection with hepatitis B or C virus, or HIV-1 or HIV-2, or active infection with hepatitis A;"	17
NCT00483041	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Evidence of infection with hepatitis B or C virus, or HIV-1 or HIV-2, or active infection with hepatitis A;"	17
NCT00507130	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Evidence of infection with hepatitis B or C virus, or human immunodeficiency virus-1 or -2 (HIV-1 or HIV-2), or active infection with hepatitis A;"	17
NCT00590720	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Evidence of infection with hepatitis B or C virus or HIV-1 or HIV-2, or active infection with hepatitis A; must have negative HIV-1, HIV-2, hepatitis A, B, and C tests at screening;"	17
NCT02449473	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Hepatitis B, C or HIV"	17
NCT01479621	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	"History of a positive test for HIV, hepatitis B or hepatitis C infection"	17
NCT01576718	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	"History of a positive test for HIV, hepatitis B or hepatitis C infection"	17
NCT04410523	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Patients with a history of immunodeficiency disease or hepatitis B or hepatitis C or HIV. 	17
NCT02479412	Phase 2	Asthma;Efficacy;Safety	AstraZeneca	10-Feb-15	Asthma	"Patients with hepatitis B surface antigen, hepatitis C virus antibody or human immunodeficiency virus (HIV)"	17
NCT04150341	Phase 2	Asthma	Theravance Biopharma	10-Feb-15	Asthma	"Positive for hepatitis A, B or C, HIV or tuberculosis"	17
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	Positive Hepatitis B surface Ag (active infection) or Hepatitis B core total antibody (marker of past infection that could reactivate)	17
NCT02698501	Phase 2	Asthma	Celeste Porsbjerg	10-Feb-15	Asthma	"Positive hepatitis B surface antigen, or hepatitis C virus antibody serology"	17
NCT03010436	Phase 2	Asthma	National Jewish Health	10-Feb-15	Systemic Vasculitis	"Positive hepatitis B surface antigen, or hepatitis C virus antibody serology, or a positive medical history for hepatitis B or C. Subjects with a history of hepatitis B vaccination without history of hepatitis B are allowed to be enrolled."	17
NCT04098718	Phase 2	Asthma;COPD	University of Oxford	10-Feb-15		"Positive hepatitis B surface antigen, or positive hepatitis C virus antibody serology or a known medical history of hepatitis B or C."	17
NCT02377427	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Positive Hepatitis B Surface Antigen or positive Hepatitis C antibody at Visit	17
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Positive hepatitis C (Hep C) test result at screening or within 3 months prior to first dose of study treatment. 	17
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	Positive Hepatitis C RNA test following positive Hepatitis C Antibody	17
NCT01955512	Phase 2	Asthma	University of Southampton	10-Feb-15	Asthma	Positive hepatitis viral antigens or antibodies	17
NCT01160224	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Positive HIV, Hepatitis B surface antigen or Hepatitis C antibody within 3 months of screening."	17
NCT02054130	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Positive medical history for hepatitis B or C	17
NCT01238861	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Positive medical history for hepatitis B or C. Subjects with a history of hepatitis B vaccination without history of hepatitis B are allowed to enrol	17
NCT01743768	Phase 2	Asthma	Sterna Biologicals GmbH & Co. KG	10-Feb-15	Asthma	Positive results in any of the virology tests of acute or chronic infectious human immunodeficiency virus (HIV) and hepatitis B/C virus infections	17
NCT02422121	Phase 2	Asthma	Revalesio Corporation	10-Feb-15	Asthma	"Positive screen on hepatitis B surface antigen, antibodies to the hepatitis C virus or antibodies to the human immunodeficiency virus (HIV 1 and 2)."	17
NCT03745196	Phase 2	Asthma;Respiratory Candidiasis;Respiratory Aspergillosis;COPD;Bronchiectasis	Pulmocide Ltd	10-Feb-15	Candidiasis;Aspergillosis;Asthma;Bronchiectasis;Respiration Disorders;Respiratory Tract Diseases	"Positive test at screening for hepatitis B virus infection, or antibodies to hepatitis C virus"	17
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	"Positive test for Hepatitis B, Hepatitis C or Human Immunodeficiency Virus (HIV) at Screening."	17
NCT00812929	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Positive test for hepatitis C antibody or hepatitis B surface antigen.	17
NCT02491684	Phase 2	Asthma	AstraZeneca	10-Feb-15	Infections;Respiratory Tract Infections;Asthma	"Positive test for serum hepatitis B surface antigen, hepatitis C antibody, or HIV"	17
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Presence of hepatitis B surface antigen (HBsAg), positive hepatitis C antibody test result at Screening (Visit 1) or within 3 months prior to first dose of study treatment."	17
NCT02833974	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Presence of hepatitis B surface antigen (HBsAg), positive hepatitis C antibody test result at screening or within 3 months prior to first dose of study treatment"	17
NCT03393806	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Presence of hepatitis B surface antigen (HBsAg), positive hepatitis C antibody test result at screening or within 3 months prior to first dose of study treatment."	17
NCT03707678	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Presence of hepatitis B surface antigen (HbsAg), positive hepatitis C antibody test result at screening or within 3 months prior to first dose of study treatment."	17
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Presence of hepatitis B surface antigen (HBsAg) or core antigen (HBcAg). Subjects who are HBsAg negative, but hepatitis core antigen positive may be included if they are polymerase chain reaction (PCR) negative for Hepatitis B deoxyribonucleic acid (DNA)."	17
NCT00400855	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Test positive at the screening visit for hepatitis B or C or HIV 	17
NCT04847674	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	"The participant has known history of, or a positive test result for, hepatitis B surface antigen (HBsAg), hepatitis C virus (HCV) antibodies (Ab), or human immunodeficiency virus (HIV) Types 1 or 2 Ab (according to 4th generation serology testing)."	17
NCT00748306	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	The subject has tested positive for hepatitis C antibody or hepatitis B surface antigen	17
NCT00812773	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	The subject has tested positive for hepatitis C antibody or hepatitis B surface antigen.	17
NCT00850642	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	The subject has tested positive for hepatitis C antibody or hepatitis B surface antigen.	17
NCT01641692	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Viral hepatitis B surface antigen or Hepatitis C antibody	17
NCT00404313	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	Recent history of heart problems within the past 3 months	18
NCT00482898	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	You have a history of heart problems in the last 6 months	18
NCT01939587	Phase 2	Asthma	Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau	10-Feb-15	Respiratory Hypersensitivity	"Acceptable contraception procedures are oral, transdermal, or implanted contraceptives, intrauterine device, female condom with spermicide, diaphragm with spermicide, or use of a condom with spermicide by the sexual partner."	19
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	"Career, lifestyle, or sexual orientation precludes intercourse with a male partner"	19
NCT00530166	Phase 2	Asthma	"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."	10-Feb-15	Asthma	Female of child bearing potential. 	19
NCT00801853	Phase 2	Asthma	"Aerovance, Inc."	10-Feb-15	Asthma	"Female patient is pregnant, breastfeeding, or not using an adequate method of contraception"	19
NCT01902290	Phase 2	Asthma	Amgen	10-Feb-15	Asthma	Female subject is unwilling to use highly effective methods of birth control unless 2 years post-menopausal or surgically sterile	19
NCT02367313	Phase 2	Asthma	"Biota Pharmaceuticals, Inc."	10-Feb-15	Infections	"Female subjects must not be pregnant or breastfeeding. Females of childbearing potential must be willing to utilize a double barrier method of contraception, as defined in this protocol, regardless of any hormonal contraception they may be concomitantly receiving"	19
NCT03643874	Phase 2	Asthma	"Concentrx Pharmaceuticals, Inc."	10-Feb-15	Asthma	"Female subjects of childbearing potential (CBP) who are not using reliable contraception (e.g., abstinence, double barrier method, oral/implantable/transdermal contraception, Depo-Provera, intrauterine device, having one male sexual partner who has undergone vasectomy); a woman is of CBP unless she is premenarchal, is at least 2 years postmenopausal, is without a uterus and/or both ovaries, has had a bilateral tubal ligation, or has undergone the Essure procedure with confirmation of tubal blockage. [Note: If a female is identified as less than 2 years postmenopausal, a serum follicle-stimulating hormone (FSH) determination will be performed as a part of screening laboratory assessments. If an FSH result of < 40 mIU/mL is obtained, the female will be determined to be of CBP and her unwillingness to use reliable contraception as defined above will be exclusionary for the study.]"	19
NCT01436890	Phase 2	Asthma	Glenmark Pharmaceuticals Ltd. India	10-Feb-15	Asthma	Female subjects on hormone replacement therapy or hormonal contraceptives	19
NCT02388997	Phase 2	Asthma	University of Virginia	10-Feb-15	Infections;Asthma	"Female subjects who are, or who plan to become, pregnant during the study, or who are nursing a baby. Additionally, to be included in this study, a woman of child-bearing potential must have a negative urine pregnancy test at screening, during the run, and prior to viral inoculation and agree to use an effective method of birth control such as, but not limited to, birth control pills, contraceptive foam, diaphragm, intra uterine device (IUD), abstinence, or condoms."	19
NCT00534625	Phase 2	Asthma	Critical Therapeutics	10-Feb-15	Asthma	Females of child bearing potential unless using birth control	19
NCT03532490	Phase 2	Asthma;Obesity	Johns Hopkins University	10-Feb-15	Asthma	"Females of childbearing age who do not agree to practice an adequate birth control method (abstinence, combination barrier and spermicide, or hormonal) for the duration of the study."	19
NCT00605306	Phase 2	Asthma	Novartis	10-Feb-15	Asthma	"Females of childbearing potential, regardless of whether or not sexually active, if they are not using a reliable form of contraception (surgical contraception or double barrier methods (to be continued for at least two months following last dose) are acceptable)."	19
NCT01765192	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Females of childbearing potential not willing to use acceptable contraceptive methods such as hormonal contraceptives (oral, injection or implant) or intrauterine contraceptive devices or who started such methods less than 2 months prior to screening or who are not willing to use a double barrier method of contraception (diaphragm plus condom)"	19
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	"For those in a monogamous relationship that precludes sexual activity with other partners, one of the sexual partners has been sterilized by vasectomy (in males) or hysterectomy and/or bilateral salpingo-oophorectomy (in females)"	19
NCT01349257	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15		"hormonal contraception (implantable, patch, oral)"	19
NCT03745196	Phase 2	Asthma;Respiratory Candidiasis;Respiratory Aspergillosis;COPD;Bronchiectasis	Pulmocide Ltd	10-Feb-15	Candidiasis;Aspergillosis;Asthma;Bronchiectasis;Respiration Disorders;Respiratory Tract Diseases	"If female, the subject is pregnant (e.g. has a positive serum β human chorionic gonadotropin at screening or a positive urinary pregnancy test pre-dose on Day 1), lactating or breast feeding"	19
NCT02947945	Phase 2	Asthma	National Jewish Health	10-Feb-15	Granulomatosis with Polyangiitis;Systemic Vasculitis;Churg-Strauss Syndrome	"If female and of child-bearing potential, must have negative pregnancy test and must adhere to acceptable method of contraception (with <1% failure rate) during the study and for four months after the study."	19
NCT03010436	Phase 2	Asthma	National Jewish Health	10-Feb-15	Systemic Vasculitis	"If female and of child-bearing potential, must have negative pregnancy test and must adhere to acceptable method of contraception (with <1% failure rate) during the study and for four months after the study."	19
NCT01087710	Phase 2	Asthma	Abbott Nutrition	10-Feb-15	Asthma	"If of child bearing potential, failure to practice abstinence or use of an acceptable birth control method."	19
NCT03292588	Phase 2	Asthma	National Institute of Allergy and Infectious Diseases (NIAID)	10-Feb-15	Asthma	"Is currently pregnant or lactating, or plans to become pregnant during the time of study participation --Note: Females of child-bearing potential (post-menarche) must be abstinent or use a medically acceptable birth control method throughout the study (e.g. oral subcutaneous, mechanical, or surgical contraception)."	19
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	"Non-surgically sterile males and males with partners of childbearing potential not willing to use a condom with spermicide for the duration of their participation in the study plus an additional 30 days following study drug administration and to ensure that their partner is using a highly effective method of birth control such as combined oral contraceptives, implants, injectables or an IUD."	19
NCT01349257	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15		other forms of effective contraception including placement of an intrauterine device (IUD) or intrauterine system (IUS) or barrier methods of contraception: condom or occlusive cap (diaphragm or cervical/vault caps) with spermicidal cream/foam/gel/ suppository	19
NCT00930163	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Patients (men and women) of reproductive potential who are not willing to use contraception	19
NCT00971035	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Patients (men and women) of reproductive potential who are not willing to use contraception	19
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	"Pregnancy, breast-feeding, planned pregnancy during the study, or women of child-bearing potential not using adequate contraception. These methods include total abstinence (no sexual intercourse), oral contraceptives, an intrauterine device (IUD), an etonogestrel implant (Implanon), or medroxyprogesterone acetate injections (Depo-Provera shots). If one of these cannot be used, using contraceptive foam and a condom are recommended. Lack of suitability for the study:"	19
NCT00292877	Phase 2	Asthma	St. Joseph's Healthcare Hamilton	10-Feb-15	Asthma	"Pregnancy, breast-feeding or lack of effective contraception in females of childbearing potential or females who are postmenopausal <1 year"	19
NCT00815347	Phase 2	Asthma	UConn Health	10-Feb-15	Asthma	"Pregnancy, breast feeding or the use of hormonal methods of birth control as the only means of birth control during the study."	19
NCT03084718	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant (as evident by a positive urine hCG or serum β-hCG test) or lactating women and all women physiologically capable of becoming pregnant (i.e. women of childbearing potential) UNLESS they are willing to use a highly effective birth control method	19
NCT01650441	Phase 2	Asthma	"University Hospital, Antwerp"	10-Feb-15	Asthma	Pregnant or lactating females or females at risk of pregnancy at screening and not willing to use an appropriate contraception method during the study period	19
NCT02148120	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15		Pregnant or lactating women and all women physiologically capable of becoming pregnant not willing to use at least one acceptable method of contraception.	19
NCT03086460	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant or lactating women and all women physiologically capable of becoming pregnant UNLESS they are willing to use a highly effective birth control methods	19
NCT00868023	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Pregnant or lactating women or all women physiologically capable of becoming pregnant UNLESS they are menopausal or are using effective and acceptable methods of contraception.	19
NCT01349257	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15		Pregnant or lactating women or all women physiologically capable of becoming pregnant UNLESS they meet the following definition of post-menopausal: 12 months of natural (spontaneous) amenorrhea or 6 months of spontaneous amenorrhea or are using one or more of the following acceptable methods of contraception.	19
NCT01545726	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma;Eosinophilia	"Pregnant or nursing (lactating) women, where pregnancy is defined as the state of a female after conception and until the termination of gestation, confirmed by a positive hCG laboratory test (> 5 mIU/mL)"	19
NCT01437735	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	"Pregnant or nursing (lactating) women, where pregnancy is defined as the state of a female after conception and until the termination of gestation, confirmed by a positive human chorionic gonadotropin (hCG) laboratory test (> 5 mIU/mL)."	19
NCT00545272	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	"Pregnant women, nursing mothers, or females of childbearing potential, regardless of whether or not sexually active, if they are not using a reliable form of contraception."	19
NCT00557440	Phase 2	Asthma	Novartis	10-Feb-15	Asthma	"Pregnant women, nursing mothers, or females of childbearing potential, regardless of whether or not sexually active, if they are not using a reliable form of contraception."	19
NCT00818454	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	"Unwillingness or inability to use a highly effective method of birth control by women of childbearing potential. Highly effective methods of birth control are defined as those which result in a low failure rate (i.e., less than 1% per year) when used consistently and correctly such as implants, injectables, combined oral contraceptives, some intrauterine devices (IUDs), sexual abstinence or vasectomised partner. Barrier methods of contraception are accepted if condom or occlusive cap is used together with spermicides (e.g., foam or gel). Female patients will be considered to be of childbearing potential unless surgically sterilized by hysterectomy or bilateral tubal ligation/salpingectomy, or post-menopausal for at least two years"	19
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	"Unwillingness to practice medically acceptable birth control or complete abstinence during the study, current pregnancy, or lactation. Medically acceptable birth control/abstinence is defined as:"	19
NCT03444298	Phase 2	Airway Inflammation;Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Inflammation	"Unwillingness to use reliable contraception if sexually active (IUD, birth control pills/patch, condoms)"	19
NCT01545726	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma;Eosinophilia	"Women of child-bearing potential, defined as all women physiologically capable of becoming pregnant, unless they are using effective methods of contraception during the study treatment and for 5 days (5 half-lives) after treatment"	19
NCT04410523	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	"Women of child-bearing potential, defined as all women physiologically capable of becoming pregnant, unless they are using specified methods of contraception during dosing of study drug and one week after last study drug treatment"	19
NCT01939587	Phase 2	Asthma	Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau	10-Feb-15	Respiratory Hypersensitivity	"Women of child-bearing potential, unless they are surgically sterile (i.e. bilateral tubal ligation, bilateral oophorectomy, or complete hysterectomy), are at least 2 years postmenopausal, practice abstinence, or agree to employ effective contraception from Visit 1 through Visit"	19
NCT02635945	Phase 2	Asthma	Palobiofarma SL	10-Feb-15	Asthma	"Women of child-bearing potential, unless they are surgically sterile (i.e. bilateral tubal ligation, bilateral oophorectomy, or complete hysterectomy), are at least 2 years postmenopausal, practice abstinence, or agree to employ effective contraception from Visit 1 through final visit. Acceptable contraception procedures are oral, transdermal, or implanted contraceptives, intrauterine device, female condom with spermicide, diaphragm with spermicide, or use of a condom with spermicide by the sexual partner"	19
NCT01479595	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Women of child-bearing potential must use highly effective methods of contraception during dosing and for at least 18 weeks after last study drug administration 	19
NCT03299686	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Women of child-bearing potential unless they use highly effective methods of contraception during dosing and for 13 weeks after stopping of investigational drug. 	19
NCT01478360	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Women of child-bearing potential unwilling to use effective contraception during the study and for 16 weeks after stopping treatment.	19
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	"Women of childbearing potential (unless surgically sterilized by hysterectomy or bilateral tubal ligation, or post-menopausal for at least two years) not using a highly effective method of birth control."	19
NCT00452400	Phase 2	"Pulmonary Disease, Chronic Obstructive;Asthma"	Boehringer Ingelheim	10-Feb-15	"Pulmonary Disease, Chronic Obstructive"	Women of childbearing potential not using a highly effective method of birth control	19
NCT01007721	Phase 2	"Rhinitis, Allergic, Seasonal;Asthma"	Boehringer Ingelheim	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	Women of childbearing potential not using a highly effective method of birth control. 	19
NCT00467740	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	"Women of childbearing potential not using a highly effective method of birth control. Female patients will be considered to be of childbearing potential unless surgically sterilised by hysterectomy or bilateral tubal ligation, or post-menopausal for at least 2 years"	19
NCT00634036	Phase 2	Asthma	Fernando Holguin	10-Feb-15	Asthma	Women of childbearing potential using oral contraceptives who are not willing to use a second method of contraception during the study 	19
NCT00787644	Phase 2	Asthma;Obesity	University of Vermont	10-Feb-15	Asthma	Women of childbearing potential using oral contraceptives who are not willing to use a second method of contraception during the study 	19
NCT02497222	Phase 2	Asthma	Revalesio Corporation	10-Feb-15		Women of childbearing potential who are documented to be pregnant (based on blood beta-human chorionic gonadotropin [HCG] testing) or who are nursing.	19
NCT00549744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Women of childbearing potential who are unwilling or unable to use an appropriate method of contraception from at least two weeks prior to the first dose of study medication; and to continue until the final pregnancy test has been performed (not less than 150 hours after treatment	19
